texto,prediccion,confianza
"no lo que no hay es capacidad para procesarlos, fabricantes de test PCR hace ya 15 dias habia como uno 10, que producian mas del doble de los que codemos usar, porque los laboratorios homologados con tecnicos y maquinaria habilitada son los que son. En mi ciudad por ejemplo solo pueden hacer 150 PCR al dia, gento con sintomas sintomas compatibles 5.000, no se da a vasto, a demas los negativos hay que repetirlos para confirmarlos.",Normal,0.59
"Donde está el manual de seguridad para funcionarios? Dónde está la prudencia de los GC o cualquier autoridad? Si tienes un trabajo o cargo de responsabilidad cuyas decisiones afecta a personas, has de actuar como tal aunque estés fuera de tu trabajo. Si eres director de una sucursal que ha propiciado un deshaucio, si eres un médico con un diagnóstico erróneo. Si eres un alcalde que acaba de multar a alguien...No se va a sitios donde te puedes encontrar a estas personas. Eso en mi pueblo es provocación. NO terrorismo.",Sarcástico,0.94
"Otro pollino con el tema de Franco.  No se cansan de repetir la misma cantinela, claro que... no tienen otra salida!!!!!.",Sarcástico,0.74
Cadena perpetua y tijeras de podar en las cercanías de los abductores....y dejarnos de bobadas buenistas.,Sarcástico,0.60
"@Horton_ #11 ¿Y eso han firmado 193 paises, el vaticano y el gobierno del PP? Me parece que manipula usted lo que es la Agenda 2030.",Normal,0.60
"Estoy convencidísimo de que el electorado catalán está loquito por cambiar el independentismo xenófobo por la ultraderecha xenófoba, oye. Además, me parece magnífico que toméis como ejemplo de ""alternativa real de gobierno"" al FN (que ya no se llama FN, pero bueno, nos entendemos) y a su representación de 8 diputados sobre 577 en la Asamblea Nacional francesa. De hecho, parece que el PP y Cs han adoptado también esa estragia de ""Less is More"", así que al final igual acabáis todos de la mano en el Grupo Mixto. Repito, buen trabajo, y a seguir así.",Normal,0.53
"@chus_ki #26 luego culpará a Ayuso, PP y Franco.",Normal,0.56
#127No es de risa hablar de libertad. Y no se combate la falta de libertad con menos libertad.,Sarcástico,0.67
Mamaaaaaaaaa buaaaaaa,Normal,0.56
EL Mundo es portavoz de la extrema derecha VOX y PP.,Normal,0.56
Es tú pi do demagogo.,Normal,0.56
@arminius #661 No se extrañe ... eso decía el individuo torra ... está documentado.,Normal,0.60
"Al final, ya sean sobres o cal, se trata de escurrir el bulto",Normal,0.56
"Lo de violarla porque el cirujano no le ha tapado bien la calva, telita....... Este hombre fue presidente de EEUU lo cual quiere decir que este mundo está como está. Ojo y Putin de RUSIA",Normal,0.86
"Jajajajajajaj ... muy bueno señor juez ... tómese su tiempo , no hay que hacer extradiciones a la ligera ... Suiza tampoco tiene ninguna prisa en extraditar a la Anna Gabriel ni a la Marta Rovira ... Quid pro quo !",Normal,0.84
"No nos hace falta Europa, dice Pedrito Pandemias que vienen muchos inmigrantes ilegales a pagarnos las pensiones.",Sarcástico,0.63
A la chavala le falta un hervor,Sarcástico,0.67
@Kiskilla #339 las recomendaciones médicas las hacemos los medicos en las consultas. No en los foros. ¿Ud no quiere creerse que soy médico? Es su problema.,Sarcástico,0.68
Necesitamos un concurso de idiotas para que este individuo gane una votación,Normal,0.60
@Putinmuerto #94 P ¿ D R A S E,Normal,0.56
"#539yo quiero que el pais vasco se decida: o todos iguales, o fuera. Cuanto antes mejor. Nadie es mas que nadie. Lo que no se puede es tolerar tanta raza superior y tanto pueblo elegido y tanta bobà",Sarcástico,0.63
"@patxilaskurain #92 jajajajajaja, sigues con esas cosas? Actualízate hombre, que pareces un disco rayado. Abueeeeeelo.",Sarcástico,0.67
"hasya que ganen aqui PP/V0X ya indistiguibles y le pen allí, ahora bien, pueden dejarles fuera siempre?, esperemos que si",Sarcástico,0.89
"Y las vacaciones a cuerpo de Rey que nos hemos pegado, eh!! La inversión escolar es un chiste con las paellas, chiringuitos, hoteles, actividades acuáticas, … A llorar a Los Paules",Normal,0.63
España como criadero de incompetentes y chorizos. Menos mal que soy catalán.,Sarcástico,0.67
¿Y dónde ha quedado la libre expresión?,Normal,0.82
"Para soportar los comentarios de este CROMA que habla de Cataluña como si fuera el paraíso de las libertades, hay que tener cuajo. Cataluña es hoy por hoy el mejor ejemplo de FASCISMO que tenemos en Europa occidental. El problema es que no habrá salido de su pueblo y no se ha enterado.",Sarcástico,0.98
Intentar comprar a traidores jamás ha servido .La Historia está llena de ejemplos.,Normal,0.82
"Un incunable, Maria.",Normal,0.56
".... Y menos mal que no te echaron un cable, porque esa gente lo hubiera usado para estrangularte. Menudas las gastan ésos",Sarcástico,0.56
El MADRID es un auténtico BOCHORNO de club.,Normal,0.56
"Está claro, por tanto, que la reforma constitucional es la única forma de resolver el problema catalán y los problemas de las nacionalidades provenientes de muchas regiones españolas. Precisamente con la hipótesis de una reforma de la Constitución, el PSOE ha avalado la activación del artículo 155 con todos los riesgos que conlleva la destitución forzosa de un Gobierno regional elegido democráticamente. Porque esto es algo para recordar, el gobierno de Puigdemont, aunque no representó a la mayoría absoluta de los catalanes, consiguió la mayoría de escaños necesarios para formar gobierno, no es un guerrillero que tomó el poder con un golpe de Estado, sino un político elegidos por elecciones ordinarias. Su supresión es, por tanto, una suspensión del sistema que en Cataluña hasta ahora se ha considerado comúnmente el sistema democrático.",Normal,0.52
"joder ya estamos con lo mismo claro que hay denuncias falsas y que es un negocio de 4 listas arropadas por muchas lelas, pero lo que ha hecho este tiparraco es de ser un degenerado dar una paliza de muerte a una mujer hasta matarla madre mia",Sarcástico,0.79
"El PP al rescate de Antonio, cual Superman!!! JA,JA,JA.",Normal,0.60
Fijos discontinuos?????,Normal,0.56
"La politica del HIGHLY LIKELY, muy probablemente, ha sido una de esas mentiras gordas de los que ni los necios que las sostienen se las creen. Horas antes del ataque highly likely, un avion C130 Hércules de USA aterrizó en la base rusa de Siria para coordinarse y darse garantías en este CIRCO mundial. Nunca hubo ataque químico, pero Rusia y Siria son culpables por no apoyar a USA, UK y Francia en su absurdo sentido militar, a espaldas de sus propios ciudadanos y sus parlamentos. En España nos toca pagar cada dia con más impuestos un petróleo mas caro a otros beneficiados por este circo. Ha sido un ataque Sin Muertos, ni Heridos. Algo increíble, si no hubiese estado muy coordinado, hasta ese extremo. USA y sus aliados han quedado sin argumentos y con sus mentiras expuestos a su Opinión Pública.",Sarcástico,0.99
Anda fachin,Normal,0.56
@PorElMundo_sin_censores #80 porque en breve se podrá utilizar también el silbo gomero en el Congreso. Seremos la admiración del mundo.,Normal,0.60
Esto es muy vergonzoso..el mensaje que le damos a los jóvenes es el contrario a la decencia..si tienes padrinos triunfarás..la mafia del pp en todo.. todo..es bochornoso..,Sarcástico,0.63
"Esperemos que cuando el Sr. Casado gobierne ( si algún día gobierne ) tenga más sentido de Estado que sus predecesores y, no acepte los votos nacionalistas, en caso que este en minoría a cambio dela poltrona. Eso le diferenciaría de los que nos precedieron. Todos sus predecesores han preferido pactar con los partidos nacionalistas de cada autonomía antes que con su rival del momento, de tal modo que los nacionalista se han hecho imprescindibles para arañar privilegios sobre las demás autonomías.",Sarcástico,0.71
"Y Pedro Saunas de pagafantas. Con nuestro dinero, claro.",Sarcástico,0.86
Los niveles de corrupción política a la que estamos asistiendo en este país son escandalosos. Si yo fuera estudiante de esa universidad mañana mismo estaba dado de baja del master y con orden judicial para que me devuelvan el dinero.,Sarcástico,0.82
"Una nación que no puede reconocer y aceptar constitucionalmente un referéndum independentista. Basándose en el artículo 2, el Tribunal Constitucional español dictaminó que el referéndum catalán era absolutamente inconstitucional. Este artículo, sin embargo, que habla de ""prioridad de las nacionalidades"", abre el debate sobre el derecho de autodeterminación de los ""pueblos constituyentes"" que la Comisión Badinter ha definido para los pueblos de la antigua Yugoslavia y para Croacia y Bosnia y Herzegovina.",Sarcástico,0.63
E intentan dar golpes de Estado con el lumpen,Normal,0.56
